Data,Quantidade,Total,Media
2021-06-04,24945880,"17229599,27","690,68"
2021-09-28,28840568,"17964083,35","622,88"
2022-10-28,75938264,"40180577,53","529,12"
2022-12-01,93207145,"47313669,38","507,62"
2022-04-06,59981242,"32855707,99","547,77"
2022-09-26,60547764,"37641607,8","621,68"
2021-04-14,14724886,"10069358,75","683,83"
2021-04-12,15051225,"12773852,85","848,69"
2021-11-07,21922002,"4083954,42","186,29"
2021-12-11,36303156,"7800229,6","214,86"
2021-10-29,41701438,"27576227,46","661,28"
2021-06-29,21071410,"15594413,47","740,07"
2022-08-30,59086264,"38241165,82","647,21"
2021-07-05,27912645,"21363890,7","765,38"
2021-09-29,29911830,"18902824,79","631,95"
2022-12-03,74330249,"14519723,24","195,34"
2021-02-03,7907948,"6760698,37","854,92"
2022-04-15,31693861,"6613004,9","208,65"
2022-10-29,64579164,"11818903,75","183,01"
2022-07-16,53259941,"9618118,84","180,59"
2020-12-23,6050946,"5792354,02","957,26"
2021-10-14,32063466,"19049310,24","594,11"
2022-02-21,44424231,"29157131,75","656,33"
2022-08-24,57328581,"28159734,45","491,2"
2022-10-01,67789809,"14278804,53","210,63"
2022-04-08,61904191,"32596486,41","526,56"
2021-07-25,12988529,"2194443,93","168,95"
2023-02-25,70959689,"12298866,58","173,32"
2021-03-02,11102218,"9114573,84","820,97"
2021-05-27,19657635,"11808201,55","600,69"
2022-12-21,94011903,"43151400,83",459
2021-08-31,33364622,"23096470,05","692,24"
2021-04-21,10266044,"3238384,3","315,45"
2021-09-11,26166248,"5884520,85","224,89"
2021-05-22,15271229,"3391411,51","222,08"
2022-12-27,68743248,"33850038,38","492,41"
2022-03-23,43598734,"22246180,06","510,25"
2022-01-04,36844863,"21770484,4","590,87"
2021-02-19,11148558,"8879118,26","796,44"
2021-06-01,24536828,"16855306,14","686,94"
2021-01-11,7463448,"7323638,64","981,27"
2022-07-07,75384880,"36648280,2","486,15"
2022-03-12,40760084,"7917391,77","194,24"
2022-09-03,61722696,"12134158,49","196,59"
2021-02-20,6831039,"2026088,2","296,6"
2022-08-26,63369473,"32404087,81","511,35"
2021-09-06,35746869,"24461253,67","684,29"
2021-11-16,36477711,"28278443,2","775,23"
2021-05-12,18012986,"11750224,13","652,32"
2021-08-04,28004102,"16982062,97","606,41"
2021-06-30,27962473,"21438088,62","766,67"
2022-03-10,53910102,"31475592,36","583,85"
2022-04-26,46230402,"25431810,01","550,11"
2020-12-04,4377506,"4604368,93","1051,82"
2021-08-19,25591957,"15745027,81","615,23"
2022-10-04,71003628,"37969489,58","534,75"
2022-02-09,45668993,"23256289,32","509,24"
2023-02-26,47330789,"5965954,78","126,05"
2022-11-01,74052204,"42842348,03","578,54"
2022-04-13,50953956,"26640278,01","522,83"
2022-07-22,57271307,"30098098,48","525,54"
2021-10-07,42036135,"23251313,81","553,13"
2021-04-09,17973331,"12571503,33","699,45"
2021-10-12,20381587,"4550892,77","223,28"
2022-08-06,68123821,"14409584,55","211,52"
2022-12-08,86128846,"38496564,16","446,96"
2022-05-14,48561632,"9292684,96","191,36"
2021-03-17,10592852,"7777513,68","734,22"
2021-05-01,12313270,"3478351,08","282,49"
2022-02-06,26739981,"4678275,42","174,95"
2022-07-23,52776706,"9076824,67","171,99"
2021-09-08,36286271,"22714099,21","625,97"
2021-11-11,37608436,"20898298,15","555,68"
2023-01-03,69232869,"34692604,48","501,1"
2021-04-19,13879818,"11707511,11","843,49"
2023-01-12,72390109,"33565646,53","463,68"
2022-10-05,79019449,"44440457,63","562,4"
2022-11-24,68450640,"27495116,41","401,68"
2021-07-17,20218304,"4361757,79","215,73"
2021-06-20,11700057,"2201469,34","188,16"
2021-12-18,38892082,"8683457,39","223,27"
